id,video_dir,video_name,class,split
0000146,INCLUDE/Adjectives/26. hard/MVI_9794.MOV,MVI_9794.MOV,hard,train
0000147,INCLUDE/Adjectives/26. hard/MVI_9793.MOV,MVI_9793.MOV,hard,train
0000148,INCLUDE/Adjectives/26. hard/MVI_9669.MOV,MVI_9669.MOV,hard,train
0000149,INCLUDE/Adjectives/26. hard/MVI_9666.MOV,MVI_9666.MOV,hard,train
0000150,INCLUDE/Adjectives/26. hard/MVI_9667.MOV,MVI_9667.MOV,hard,val
0000151,INCLUDE/Adjectives/8. Blind/MVI_9585.MOV,MVI_9585.MOV,blind,val
0000152,INCLUDE/Adjectives/8. Blind/MVI_9586.MOV,MVI_9586.MOV,blind,train
0000153,INCLUDE/Adjectives/8. Blind/MVI_9587.MOV,MVI_9587.MOV,blind,train
0000154,INCLUDE/Adjectives/8. Blind/MVI_9853.MOV,MVI_9853.MOV,blind,train
0000155,INCLUDE/Adjectives/8. Blind/MVI_9852.MOV,MVI_9852.MOV,blind,train
0000156,INCLUDE/Adjectives/8. Blind/MVI_9855.MOV,MVI_9855.MOV,blind,train
0000157,INCLUDE/Adjectives/8. Blind/MVI_9854.MOV,MVI_9854.MOV,blind,train
0000158,INCLUDE/Adjectives/94. good/MVI_9351.MOV,MVI_9351.MOV,good,val
0000159,INCLUDE/Adjectives/94. good/MVI_9350.MOV,MVI_9350.MOV,good,train
0000160,INCLUDE/Adjectives/94. good/MVI_9431.MOV,MVI_9431.MOV,good,train
0000161,INCLUDE/Adjectives/94. good/MVI_9430.MOV,MVI_9430.MOV,good,train
0000162,INCLUDE/Adjectives/94. good/MVI_5318.MOV,MVI_5318.MOV,good,train
0000163,INCLUDE/Adjectives/94. good/MVI_9268.MOV,MVI_9268.MOV,good,train
0000164,INCLUDE/Adjectives/94. good/MVI_5240.MOV,MVI_5240.MOV,good,train
0000165,INCLUDE/Adjectives/94. good/MVI_9269.MOV,MVI_9269.MOV,good,val
0000166,INCLUDE/Adjectives/94. good/MVI_5316.MOV,MVI_5316.MOV,good,train
0000167,INCLUDE/Adjectives/94. good/MVI_5317.MOV,MVI_5317.MOV,good,train
0000168,INCLUDE/Adjectives/94. good/MVI_9511.MOV,MVI_9511.MOV,good,train
0000169,INCLUDE/Adjectives/94. good/MVI_9512.MOV,MVI_9512.MOV,good,train
0000170,INCLUDE/Adjectives/94. good/MVI_5159.MOV,MVI_5159.MOV,good,train
0000171,INCLUDE/Adjectives/94. good/MVI_5158.MOV,MVI_5158.MOV,good,train
0000172,INCLUDE/Adjectives/94. good/MVI_5238.MOV,MVI_5238.MOV,good,train
0000173,INCLUDE/Adjectives/94. good/MVI_9349.MOV,MVI_9349.MOV,good,train
0000174,INCLUDE/Adjectives/94. good/MVI_5160.MOV,MVI_5160.MOV,good,train
0000175,INCLUDE/Adjectives/89. warm/MVI_5144.MOV,MVI_5144.MOV,warm,train
0000176,INCLUDE/Adjectives/89. warm/MVI_5224.MOV,MVI_5224.MOV,warm,train
0000177,INCLUDE/Adjectives/89. warm/MVI_5143.MOV,MVI_5143.MOV,warm,train
0000178,INCLUDE/Adjectives/89. warm/MVI_5141.MOV,MVI_5141.MOV,warm,train
0000179,INCLUDE/Adjectives/89. warm/MVI_5223.MOV,MVI_5223.MOV,warm,train
0000180,INCLUDE/Adjectives/89. warm/MVI_9494.MOV,MVI_9494.MOV,warm,train
0000181,INCLUDE/Adjectives/89. warm/MVI_9495.MOV,MVI_9495.MOV,warm,train
0000182,INCLUDE/Adjectives/89. warm/MVI_9493.MOV,MVI_9493.MOV,warm,train
0000183,INCLUDE/Adjectives/89. warm/MVI_9336.MOV,MVI_9336.MOV,warm,train
0000184,INCLUDE/Adjectives/89. warm/MVI_9254.MOV,MVI_9254.MOV,warm,val
0000185,INCLUDE/Adjectives/89. warm/MVI_9334.MOV,MVI_9334.MOV,warm,train
0000186,INCLUDE/Adjectives/89. warm/MVI_9335.MOV,MVI_9335.MOV,warm,train
0000187,INCLUDE/Adjectives/89. warm/MVI_5303.MOV,MVI_5303.MOV,warm,train
0000188,INCLUDE/Adjectives/89. warm/MVI_5301.MOV,MVI_5301.MOV,warm,train
0000189,INCLUDE/Adjectives/89. warm/MVI_9415.MOV,MVI_9415.MOV,warm,train
0000190,INCLUDE/Adjectives/89. warm/MVI_9416.MOV,MVI_9416.MOV,warm,train
0000191,INCLUDE/Adjectives/89. warm/MVI_9417.MOV,MVI_9417.MOV,warm,val
0000192,INCLUDE/Adjectives/18. curved/MVI_9636.MOV,MVI_9636.MOV,curved,train
0000193,INCLUDE/Adjectives/18. curved/MVI_9635.MOV,MVI_9635.MOV,curved,train
0000194,INCLUDE/Adjectives/18. curved/MVI_9634.MOV,MVI_9634.MOV,curved,val
0000195,INCLUDE/Adjectives/18. curved/MVI_9633.MOV,MVI_9633.MOV,curved,train
0000196,INCLUDE/Adjectives/18. curved/MVI_9762.MOV,MVI_9762.MOV,curved,train
0000197,INCLUDE/Adjectives/18. curved/MVI_9760.MOV,MVI_9760.MOV,curved,train
0000198,INCLUDE/Adjectives/18. curved/MVI_9761.MOV,MVI_9761.MOV,curved,train
0000199,INCLUDE/Adjectives/36. light/MVI_9838.MOV,MVI_9838.MOV,light,train
0000200,INCLUDE/Adjectives/36. light/MVI_9712.MOV,MVI_9712.MOV,light,train
0000201,INCLUDE/Adjectives/36. light/MVI_9713.MOV,MVI_9713.MOV,light,train
0000202,INCLUDE/Adjectives/36. light/MVI_9711.MOV,MVI_9711.MOV,light,train
0000203,INCLUDE/Adjectives/36. light/MVI_9836.MOV,MVI_9836.MOV,light,val
0000204,INCLUDE/Adjectives/36. light/MVI_9835.MOV,MVI_9835.MOV,light,train
0000205,INCLUDE/Adjectives/27. deep/MVI_9797.MOV,MVI_9797.MOV,deep,train
0000206,INCLUDE/Adjectives/27. deep/MVI_9800.MOV,MVI_9800.MOV,deep,train
0000207,INCLUDE/Adjectives/27. deep/MVI_9672.MOV,MVI_9672.MOV,deep,train
0000208,INCLUDE/Adjectives/27. deep/MVI_9671.MOV,MVI_9671.MOV,deep,train
0000209,INCLUDE/Adjectives/27. deep/MVI_9670.MOV,MVI_9670.MOV,deep,val
0000210,INCLUDE/Adjectives/27. deep/MVI_9799.MOV,MVI_9799.MOV,deep,train
0000211,INCLUDE/Adjectives/86. fast/MVI_9245.MOV,MVI_9245.MOV,fast,train
0000212,INCLUDE/Adjectives/86. fast/MVI_5133.MOV,MVI_5133.MOV,fast,train
0000213,INCLUDE/Adjectives/86. fast/MVI_9325.MOV,MVI_9325.MOV,fast,val
0000214,INCLUDE/Adjectives/86. fast/MVI_5292.MOV,MVI_5292.MOV,fast,train
0000215,INCLUDE/Adjectives/86. fast/MVI_5293.MOV,MVI_5293.MOV,fast,train
0000216,INCLUDE/Adjectives/86. fast/MVI_9244.MOV,MVI_9244.MOV,fast,train
0000217,INCLUDE/Adjectives/86. fast/MVI_9246.MOV,MVI_9246.MOV,fast,train
0000218,INCLUDE/Adjectives/86. fast/MVI_9326.MOV,MVI_9326.MOV,fast,train
0000219,INCLUDE/Adjectives/86. fast/MVI_5135.MOV,MVI_5135.MOV,fast,train
0000220,INCLUDE/Adjectives/86. fast/MVI_5294.MOV,MVI_5294.MOV,fast,train
0000221,INCLUDE/Adjectives/86. fast/MVI_9485.MOV,MVI_9485.MOV,fast,train
0000222,INCLUDE/Adjectives/86. fast/MVI_9484.MOV,MVI_9484.MOV,fast,train
0000223,INCLUDE/Adjectives/86. fast/MVI_5213.MOV,MVI_5213.MOV,fast,train
0000224,INCLUDE/Adjectives/86. fast/MVI_9407.MOV,MVI_9407.MOV,fast,train
0000225,INCLUDE/Adjectives/86. fast/MVI_5215.MOV,MVI_5215.MOV,fast,train
0000226,INCLUDE/Adjectives/86. fast/MVI_5214.MOV,MVI_5214.MOV,fast,train
0000227,INCLUDE/Adjectives/86. fast/MVI_9406.MOV,MVI_9406.MOV,fast,val
0000228,INCLUDE/Adjectives/39. famous/MVI_9839.MOV,MVI_9839.MOV,famous,train
0000229,INCLUDE/Adjectives/39. famous/MVI_9718.MOV,MVI_9718.MOV,famous,train
0000230,INCLUDE/Adjectives/39. famous/MVI_9717.MOV,MVI_9717.MOV,famous,train
0000231,INCLUDE/Adjectives/39. famous/MVI_9716.MOV,MVI_9716.MOV,famous,train
0000232,INCLUDE/Adjectives/39. famous/MVI_9841.MOV,MVI_9841.MOV,famous,train
0000233,INCLUDE/Adjectives/39. famous/MVI_9842.MOV,MVI_9842.MOV,famous,val
0000234,INCLUDE/Adjectives/39. famous/MVI_9843.MOV,MVI_9843.MOV,famous,train
0000235,INCLUDE/Adjectives/88. cold/MVI_5220.MOV,MVI_5220.MOV,cold,train
0000236,INCLUDE/Adjectives/88. cold/MVI_5221.MOV,MVI_5221.MOV,cold,train
0000237,INCLUDE/Adjectives/88. cold/MVI_5140.MOV,MVI_5140.MOV,cold,train
0000238,INCLUDE/Adjectives/88. cold/MVI_9251.MOV,MVI_9251.MOV,cold,train
0000239,INCLUDE/Adjectives/88. cold/MVI_9331.MOV,MVI_9331.MOV,cold,train
0000240,INCLUDE/Adjectives/88. cold/MVI_9250.MOV,MVI_9250.MOV,cold,val
0000241,INCLUDE/Adjectives/88. cold/MVI_9332.MOV,MVI_9332.MOV,cold,train
0000242,INCLUDE/Adjectives/88. cold/MVI_9333.MOV,MVI_9333.MOV,cold,train
0000243,INCLUDE/Adjectives/88. cold/MVI_9492.MOV,MVI_9492.MOV,cold,train
0000244,INCLUDE/Adjectives/88. cold/MVI_9491.MOV,MVI_9491.MOV,cold,train
0000245,INCLUDE/Adjectives/88. cold/MVI_9490.MOV,MVI_9490.MOV,cold,val
0000246,INCLUDE/Adjectives/88. cold/MVI_5139.MOV,MVI_5139.MOV,cold,train
0000247,INCLUDE/Adjectives/88. cold/MVI_5298.MOV,MVI_5298.MOV,cold,train
0000248,INCLUDE/Adjectives/88. cold/MVI_5299.MOV,MVI_5299.MOV,cold,train
0000249,INCLUDE/Adjectives/88. cold/MVI_5300.MOV,MVI_5300.MOV,cold,train
0000250,INCLUDE/Adjectives/88. cold/MVI_9411.MOV,MVI_9411.MOV,cold,train
0000251,INCLUDE/Adjectives/21. tight/MVI_9647.MOV,MVI_9647.MOV,tight,train
0000252,INCLUDE/Adjectives/21. tight/MVI_9646.MOV,MVI_9646.MOV,tight,train
0000253,INCLUDE/Adjectives/21. tight/MVI_9648.MOV,MVI_9648.MOV,tight,train
0000254,INCLUDE/Adjectives/21. tight/MVI_9649.MOV,MVI_9649.MOV,tight,train
0000255,INCLUDE/Adjectives/21. tight/MVI_9771.MOV,MVI_9771.MOV,tight,val
0000256,INCLUDE/Adjectives/21. tight/MVI_9772.MOV,MVI_9772.MOV,tight,train
0000257,INCLUDE/Adjectives/21. tight/MVI_9773.MOV,MVI_9773.MOV,tight,train
0000258,INCLUDE/Adjectives/98. sick/MVI_5331.MOV,MVI_5331.MOV,sick,train
0000259,INCLUDE/Adjectives/98. sick/MVI_5251.MOV,MVI_5251.MOV,sick,train
0000260,INCLUDE/Adjectives/98. sick/MVI_9443.MOV,MVI_9443.MOV,sick,train
0000261,INCLUDE/Adjectives/98. sick/MVI_9442.MOV,MVI_9442.MOV,sick,train
0000262,INCLUDE/Adjectives/98. sick/MVI_5330.MOV,MVI_5330.MOV,sick,train
0000263,INCLUDE/Adjectives/98. sick/MVI_5252.MOV,MVI_5252.MOV,sick,train
0000264,INCLUDE/Adjectives/98. sick/MVI_5253.MOV,MVI_5253.MOV,sick,train
0000265,INCLUDE/Adjectives/98. sick/MVI_9280.MOV,MVI_9280.MOV,sick,train
0000266,INCLUDE/Adjectives/98. sick/MVI_9444.MOV,MVI_9444.MOV,sick,train
0000267,INCLUDE/Adjectives/98. sick/MVI_9281.MOV,MVI_9281.MOV,sick,train
0000268,INCLUDE/Adjectives/98. sick/MVI_9282.MOV,MVI_9282.MOV,sick,train
0000269,INCLUDE/Adjectives/98. sick/MVI_9529.MOV,MVI_9529.MOV,sick,train
0000270,INCLUDE/Adjectives/98. sick/MVI_5329.MOV,MVI_5329.MOV,sick,train
0000271,INCLUDE/Adjectives/98. sick/MVI_5171.MOV,MVI_5171.MOV,sick,val
0000272,INCLUDE/Adjectives/98. sick/MVI_9364.MOV,MVI_9364.MOV,sick,train
0000273,INCLUDE/Adjectives/98. sick/MVI_9362.MOV,MVI_9362.MOV,sick,train
0000274,INCLUDE/Adjectives/98. sick/MVI_9363.MOV,MVI_9363.MOV,sick,val
0000275,INCLUDE/Adjectives/24. low/MVI_9787.MOV,MVI_9787.MOV,low,train
0000276,INCLUDE/Adjectives/24. low/MVI_9786.MOV,MVI_9786.MOV,low,train
0000277,INCLUDE/Adjectives/24. low/MVI_9784.MOV,MVI_9784.MOV,low,train
0000278,INCLUDE/Adjectives/24. low/MVI_9660.MOV,MVI_9660.MOV,low,train
0000279,INCLUDE/Adjectives/24. low/MVI_9661.MOV,MVI_9661.MOV,low,train
0000280,INCLUDE/Adjectives/24. low/MVI_9659.MOV,MVI_9659.MOV,low,val
0000281,INCLUDE/Adjectives/24. low/MVI_9658.MOV,MVI_9658.MOV,low,train
0000282,INCLUDE/Adjectives/6. Ugly/MVI_9579.MOV,MVI_9579.MOV,ugly,train
0000283,INCLUDE/Adjectives/6. Ugly/MVI_9578.MOV,MVI_9578.MOV,ugly,train
0000284,INCLUDE/Adjectives/6. Ugly/MVI_9846.MOV,MVI_9846.MOV,ugly,val
